Name,Question,Inr,Answer
Mao Zedong,Has a forgiving nature,17,4
Mao Zedong,Tends to be disorganized,18,2
Mao Zedong,Worries a lot,19,3
Mao Zedong,Has an active imagination,20,5
Mao Zedong,Tends to be quiet,21,2
Mao Zedong,Is generally trusting,22,4
Mao Zedong,Tends to be lazy,23,1
Mao Zedong,"Is emotionally stable, not easily upset",24,4
Mao Zedong,Is inventive,25,5
Mao Zedong,Has an assertive personality,26,5
Mao Zedong,Can be cold and aloof,27,2
Mao Zedong,Perseveres until the task is finished,28,5
Mao Zedong,Can be moody,29,3
Mao Zedong,"Values artistic, aesthetic experiences",30,4
Mao Zedong,"Is sometimes shy, inhibited",31,3
Mao Zedong,Is considerate and kind to almost everyone,32,4
Mao Zedong,Does things efficiently,33,5
Mao Zedong,Remains calm in tense situations,34,4
Mao Zedong,Prefers work that is routine,35,2
Mao Zedong,"Is outgoing, sociable",36,4
Mao Zedong,Is sometimes rude to others,37,2
Mao Zedong,Makes plans and follows through with them,38,5
Mao Zedong,Gets nervous easily,39,2
Mao Zedong,"Likes to reflect, play with ideas",40,5
Mao Zedong,Has few artistic interests,41,2
Mao Zedong,Likes to cooperate with others,42,4
Mao Zedong,Is easily distracted,43,3
Mao Zedong,"Is sophisticated in art, music, or Literature",44,3
Benito Mussolini,Is talkative,1,4
Benito Mussolini,Tends to find fault with others,2,3
Benito Mussolini,Does a thorough job,3,5
Benito Mussolini,"Is depressed, blue",4,2
Benito Mussolini,"Is original, comes up with new ideas",5,5
Benito Mussolini,Is reserved,6,2
Benito Mussolini,Is helpful and unselfish with others,7,3
Benito Mussolini,Can be somewhat careless,8,2
Benito Mussolini,"Is relaxed, handles stress well",9,4
Benito Mussolini,Is curious about many different things,10,4
Benito Mussolini,Is full of energy,11,5
Benito Mussolini,Starts quarrels with others,12,2
Benito Mussolini,Is a reliable worker,13,5
Benito Mussolini,Can be tense,14,4
Benito Mussolini,"Is ingenious, a deep thinker",15,4
Benito Mussolini,Generates a lot of enthusiasm,16,5
Benito Mussolini,Has a forgiving nature,17,2
Benito Mussolini,Tends to be disorganized,18,1
Benito Mussolini,Worries a lot,19,1
Benito Mussolini,Has an active imagination,20,4
Benito Mussolini,Tends to be quiet,21,1
Benito Mussolini,Is generally trusting,22,2
Benito Mussolini,Tends to be lazy,23,1
Benito Mussolini,"Is emotionally stable, not easily upset",24,5
Benito Mussolini,Is inventive,25,4
Benito Mussolini,Has an assertive personality,26,5
Benito Mussolini,Can be cold and aloof,27,4
Benito Mussolini,Perseveres until the task is finished,28,5
Benito Mussolini,Can be moody,29,3
Benito Mussolini,"Values artistic, aesthetic experiences",30,4
Benito Mussolini,"Is sometimes shy, inhibited",31,1
Benito Mussolini,Is considerate and kind to almost everyone,32,2
Benito Mussolini,Does things efficiently,33,5
Benito Mussolini,Remains calm in tense situations,34,4
Benito Mussolini,Prefers work that is routine,35,2
Benito Mussolini,"Is outgoing, sociable",36,5
Benito Mussolini,Is sometimes rude to others,37,2
Benito Mussolini,Makes plans and follows through with them,38,5
Benito Mussolini,Gets nervous easily,39,1
Benito Mussolini,"Likes to reflect, play with ideas",40,3
Benito Mussolini,Has few artistic interests,41,2
Benito Mussolini,Likes to cooperate with others,42,2
Benito Mussolini,Is easily distracted,43,2
Benito Mussolini,"Is sophisticated in art, music, or Literature",44,4
