Name,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Sung Jae-gi,2.0,4.0,2.444,2.75,3.3
Susumu Tonegawa,3.875,3.778,2.444,2.25,2.7
Sylvester Stallone,2.0,2.778,2.667,2.75,2.7
Tadeusz Reichstein,2.125,2.889,3.778,2.5,2.9
Tarō Asō,3.75,2.444,2.778,2.125,2.5
Taylor Swift,3.25,3.667,2.778,3.625,2.5
Terry Pratchett,2.625,2.333,3.556,3.25,2.8
Thaksin Shinawatra,3.5,3.0,3.556,2.375,3.1
The Undertaker,3.375,2.778,2.556,3.875,2.8
Theodore von Kármán,3.375,2.111,3.111,3.5,2.8
Thomas Edison,3.125,3.222,3.444,1.75,3.0
Thomas Lipton,2.5,2.333,3.0,3.625,4.6
Thomas Paine,2.625,3.556,2.444,2.875,3.0
Tiger Woods,2.625,3.778,2.667,3.0,2.8
Toghrul Asgarov,1.875,2.556,2.556,2.5,1.7
Tom Brady,2.5,2.778,3.333,1.875,3.2
Tom Cruise,2.75,3.889,2.667,3.375,1.9
Tom Danielson,3.875,2.556,3.556,3.625,1.8
Tom Hanks,2.875,3.111,3.667,3.5,2.2
Tom Hardy,1.875,4.111,3.0,1.75,2.8
Tomáš Pospíchal,2.75,3.444,3.222,3.375,3.4
Tomáš Šmíd,3.375,3.778,2.222,3.0,2.0
Toni Schumacher,2.125,3.444,2.444,2.5,2.8
Toshirō Mifune,3.375,4.222,3.222,2.75,3.6
Triple H,3.0,2.0,3.667,4.125,3.5
Tupac Shakur,3.125,3.778,3.222,2.875,2.5
Tyra Banks,3.0,2.889,3.556,2.5,3.0
Tyson Fury,3.125,1.889,3.333,3.5,2.3
Ursula K. Le Guin,4.0,4.222,3.0,3.0,2.1
Usain Bolt,3.0,2.667,2.333,3.625,2.8
Valery Leontiev,3.375,1.222,2.556,4.125,3.2
Venus Williams,2.875,3.444,3.333,3.125,1.8
Vera Rubin,3.5,4.222,2.778,3.25,3.0
Victoria Beckham,2.625,3.111,2.556,2.0,2.3
Vin Diesel,2.625,2.778,2.778,3.625,3.5
Virat Kohli,2.875,2.111,3.778,3.125,3.2
Virginia Woolf,1.75,2.889,3.111,2.625,3.1
Vitaly Ginzburg,2.625,3.556,3.444,2.625,2.9
Vladimir Korolenko,2.125,4.111,3.778,2.875,2.4
Vladimir Mayakovsky,2.625,2.111,3.444,3.125,3.5
Vladimir Putin,2.75,4.222,3.0,2.75,3.7
Vladimír Darida,2.75,3.556,2.556,2.25,2.2
Věra Čáslavská,3.0,3.333,2.778,3.0,3.0
Walt Disney,2.625,3.333,2.667,3.375,2.8
Warren Buffett,3.0,2.556,2.333,3.625,3.2
Wayne Rooney,3.5,3.0,2.889,2.625,3.0
Werner Herzog,2.625,4.0,3.222,2.75,3.4
Whitney Houston,3.125,4.111,4.0,2.5,2.9
Wilhelm II,2.375,3.111,3.556,3.25,2.5
Will Smith,3.75,3.778,2.889,4.0,2.8
Willard Boyle,3.875,4.222,2.778,2.25,3.4
Willie Nelson,3.25,3.111,3.889,2.5,3.6
Wim Hof,4.625,4.0,2.333,2.125,3.7
Winston Churchill,2.75,3.444,4.333,1.625,2.7
Wladimir Klitschko,3.375,3.556,3.333,3.375,4.0
Woody Allen,2.75,2.667,2.556,2.875,2.9
Yevgeny Prigozhin,3.375,3.222,3.222,2.125,3.0
Yingluck Shinawatra,3.625,2.333,3.222,3.5,2.3
Yulia Tymoshenko,2.5,3.0,2.444,3.0,2.1
Yuliia Paievska,3.0,3.0,2.778,1.875,1.6
Yury Luzhkov,2.25,2.778,3.444,3.875,2.7
Zack Snyder,2.5,3.444,3.444,2.5,2.6
Zbigniew Brzezinski,3.125,3.778,2.778,2.0,2.7
Zendaya,3.0,1.889,3.0,2.875,2.6
Zhan Beleniuk,3.375,4.444,2.778,2.875,1.8
Zlatan Ibrahimovic,2.375,3.778,1.889,1.75,2.5
Édith Piaf,4.25,3.444,3.778,3.0,2.1
